,Host,populationTrend
2252,Ratufa indica,Decreasing
2253,Hyosciurus heinrichi,Unknown
2254,Urocitellus parryii,Unknown
2255,Urocitellus richardsonii,Stable
2256,Callospermophilus saturatus,Stable
2257,Ictidomys mexicanus,Stable
2258,Xerospermophilus spilosoma,Stable
2259,Spermophilus major,Unknown
2260,Ictidomys tridecemlineatus,Stable
2261,Callospermophilus madrensis,Unknown
2262,Spermophilus fulvus,Unknown
2263,Otospermophilus beecheyi,Stable
2264,Spermophilus xanthoprymnus,Decreasing
2265,Spermophilus pallidicauda,Unknown
2266,Otospermophilus variegatus,Stable
2267,Urocitellus undulatus,Stable
2268,Xerospermophilus tereticaudus,Stable
2269,Spermophilus relictus,Unknown
2270,Spermophilus pygmaeus,Decreasing
2271,Xerospermophilus perotensis,Decreasing
2272,Urocitellus armatus,Unknown
2273,Urocitellus beldingi,Stable
2274,Poliocitellus franklinii,Decreasing
2275,Urocitellus elegans,Unknown
2276,Callospermophilus lateralis,Stable
2277,Urocitellus canus,Unknown
2278,Urocitellus columbianus,Stable
2279,Notocitellus adocetus,Stable
2280,Notocitellus annulatus,Unknown
2281,Xerospermophilus mohavensis,Decreasing
2282,Spermophilus ralli,Unknown
2283,Spermophilus taurensis,Unknown
2284,Neotamias alpinus,Stable
2285,Neotamias canipes,Stable
2286,Neotamias cinereicollis,Stable
2287,Neotamias ochrogenys,Stable
2288,Neotamias panamintinus,Stable
2289,Neotamias quadrimaculatus,Stable
2290,Neotamias palmeri,Decreasing
2291,Neotamias ruficaudus,Stable
2292,Neotamias siskiyou,Stable
2293,Neotamias senex,Stable
2294,Neotamias obscurus,Stable
2295,Neotamias durangae,Unknown
2296,Neotamias merriami,Stable
2297,Petaurillus emiliae,Unknown
2298,Aeretes melanopterus,Decreasing
2299,Funisciurus leucogenys,Unknown
2300,Pteromys momonga,Unknown
2301,Trogopterus xanthipes,Decreasing
2302,Aeromys tephromelas,Unknown
2303,Petaurista nobilis,Decreasing
2304,Petaurista magnificus,Decreasing
2305,Petaurista elegans,Stable
2306,Tachyoryctes splendens,Stable
2307,Myospalax myospalax,Unknown
2308,Thryonomys gregorianus,Unknown
2309,Ptilocercus lowii,Decreasing
2310,Dendrogale melanura,Decreasing
2311,Dendrogale murina,Decreasing
2312,Anathana ellioti,Decreasing
2313,Tupaia tana,Decreasing
2314,Tupaia montana,Unknown
2315,Tupaia minor,Decreasing
2316,Tupaia splendidula,Decreasing
2317,Tupaia picta,Decreasing
2318,Tupaia dorsalis,Decreasing
2319,Tupaia javanica,Decreasing
2320,Tupaia belangeri,Stable
2321,Nesophontes edithae,
2322,Nesophontes zamicrus,
2323,Nesophontes micrus,
2324,Nesophontes paramicrus,
2325,Nesophontes hypomicrus,
2326,Nesophontes major,
2327,Chimarrogale phaeura,Decreasing
2328,Chimarrogale hantu,Decreasing
2329,Chimarrogale sumatrana,Unknown
2330,Chimarrogale platycephalus,Decreasing
2331,Neomys teres,Unknown
2332,Blarinella griselda,Unknown
2333,Blarinella wardi,Unknown
2334,Blarinella quadraticauda,Unknown
2335,Cryptotis orophila,Unknown
2336,Cryptotis merus,Decreasing
2337,Cryptotis phillipsii,Decreasing
2338,Cryptotis equatoris,Stable
2339,Cryptotis peruviensis,Unknown
2340,Cryptotis colombiana,Stable
2341,Cryptotis brachyonyx,Unknown
2342,Cryptotis squamipes,Unknown
2343,Cryptotis peregrina,Unknown
2344,Cryptotis mayensis,Decreasing
2345,Cryptotis alticola,Unknown
2346,Cryptotis nelsoni,Unknown
2347,Cryptotis hondurensis,Unknown
2348,Cryptotis magna,Decreasing
2349,Cryptotis endersi,Unknown
2350,Cryptotis gracilis,Unknown
2351,Cryptotis medellinia,Stable
2352,Cryptotis goldmani,Stable
2353,Cryptotis montivaga,Stable
2354,Cryptotis nigrescens,Stable
2355,Cryptotis mexicana,Decreasing
2356,Cryptotis obscura,Decreasing
2357,Cryptotis tropicalis,Unknown
2358,Myosorex longicaudatus,Decreasing
2359,Myosorex eisentrauti,Decreasing
2360,Myosorex babaulti,Decreasing
2361,Myosorex sclateri,Decreasing
2362,Myosorex kihaulei,Decreasing
2363,Suncus murinus,Stable
2364,Suncus etruscus,Unknown
2365,Suncus infinitesimus,Unknown
2366,Suncus lixus,Unknown
2367,Suncus megalura,Unknown
2368,Suncus stoliczkanus,Unknown
2369,Suncus varilla,Unknown
2370,Suncus zeylanicus,Decreasing
2371,Suncus malayanus,Unknown
2372,Suncus aequatorius,Unknown
2373,Suncus remyi,Unknown
2374,Suncus fellowesgordoni,Decreasing
2375,Suncus ater,Unknown
2376,Congosorex verheyeni,Unknown
2377,Sylvisorex isabellae,Decreasing
2378,Sylvisorex howelli,Decreasing
2379,Sylvisorex vulcanorum,Decreasing
2380,Sylvisorex ollula,Unknown
2381,Sylvisorex konganensis,Unknown
2382,Sylvisorex lunaris,Decreasing
2383,Sylvisorex granti,Unknown
2384,Sylvisorex johnstoni,Unknown
2385,Chodsigoa lamula,Unknown
2386,Chodsigoa salenskii,Unknown
2387,Chodsigoa parva,Unknown
2388,Chodsigoa smithii,Decreasing
2389,Chodsigoa sodalis,Unknown
2390,Chodsigoa caovansunga,Unknown
2391,Feroculus feroculus,Decreasing
2392,Notiosorex villai,Decreasing
2393,Notiosorex cockrumi,Stable
2394,Episoriculus fumidus,Unknown
2395,Episoriculus caudatus,Unknown
2396,Crocidura tanakae,Unknown
2397,Crocidura rapax,Unknown
2398,Crocidura denti,Unknown
2399,Crocidura elongata,Decreasing
2400,Crocidura douceti,Unknown
2401,Crocidura hilliana,Unknown
2402,Crocidura arabica,Unknown
2403,Crocidura batesi,Stable
2404,Crocidura negligens,Unknown
2405,Crocidura lepidura,Stable
2406,Crocidura arispa,Unknown
2407,Crocidura suaveolens,Stable
2408,Crocidura serezkyensis,Unknown
2409,Crocidura brunnea,Unknown
2410,Crocidura paradoxura,Decreasing
2411,Crocidura palawanensis,Unknown
2412,Crocidura negrina,Decreasing
2413,Crocidura malayana,Unknown
2414,Crocidura miya,Decreasing
2415,Crocidura grayi,Unknown
2416,Crocidura indochinensis,Unknown
2417,Crocidura fumosa,Decreasing
2418,Crocidura gracilipes,Unknown
2419,Crocidura greenwoodi,Unknown
2420,Crocidura flavescens,Unknown
2421,Crocidura attila,Unknown
2422,Crocidura baluensis,Stable
2423,Crocidura caliginea,Unknown
2424,Crocidura desperata,Decreasing
2425,Crocidura nigripes,Unknown
2426,Crocidura xantippe,Stable
2427,Crocidura picea,Decreasing
2428,Crocidura vorax,Unknown
2429,Crocidura orii,Decreasing
2430,Crocidura wimmeri,Unknown
2431,Crocidura beccarii,Decreasing
2432,Crocidura beatus,Decreasing
2433,Crocidura dhofarensis,Unknown
2434,Crocidura katinka,Unknown
2435,Crocidura manengubae,Decreasing
2436,Crocidura latona,Unknown
2437,Crocidura wuchihensis,Unknown
2438,Crocidura trichura,Decreasing
2439,Crocidura glassi,Decreasing
2440,Crocidura congobelgica,Unknown
2441,Crocidura levicula,Unknown
2442,Crocidura monticola,Unknown
2443,Crocidura montis,Unknown
2444,Crocidura nana,Unknown
2445,Crocidura gmelini,Unknown
2446,Crocidura horsfieldii,Unknown
2447,Crocidura lamottei,Unknown
2448,Crocidura lea,Unknown
2449,Crocidura turba,Unknown
2450,Crocidura tarfayensis,Decreasing
2451,Crocidura theresae,Unknown
2452,Crocidura virgata,Unknown
2453,Crocidura niobe,Unknown
2454,Crocidura nigricans,Unknown
2455,Crocidura foetida,Unknown
2456,Crocidura watasei,Stable
2457,Crocidura rhoditis,Stable
2458,Crocidura pullata,Unknown
2459,Crocidura tarella,Decreasing
2460,Paracrocidura maxima,Decreasing
2461,Anourosorex assamensis,Unknown
2462,Anourosorex yamashinai,Unknown
2463,Sorex maritimensis,Decreasing
2464,Sorex emarginatus,Decreasing
2465,Sorex fumeus,Stable
2466,Sorex lyelli,Stable
2467,Sorex mirabilis,Unknown
2468,Sorex alaskanus,Unknown
2469,Sorex buchariensis,Unknown
2470,Sorex camtschatica,Unknown
2471,Sorex asper,Unknown
2472,Sorex bedfordiae,Unknown
2473,Sorex bairdi,Unknown
2474,Sorex macrodon,Decreasing
2475,Sorex pribilofensis,Unknown
2476,Sorex jacksoni,Unknown
2477,Sorex caecutiens,Stable
2478,Sorex sinalis,Unknown
2479,Sorex yukonicus,Unknown
2480,Sorex veraepacis,Stable
2481,Sorex kozlovi,Unknown
2482,Sorex hosonoi,Unknown
2483,Sorex ventralis,Stable
2484,Sorex excelsus,Unknown
2485,Sorex volnuchini,Unknown
2486,Sorex milleri,Decreasing
2487,Sorex raddei,Unknown
2488,Sorex stizodon,Decreasing
2489,Sorex sclateri,Decreasing
2490,Sorex oreopolus,Stable
2491,Sorex saussurei,Stable
2492,Sorex rohweri,Unknown
2493,Sorex planiceps,Unknown
2494,Sorex pacificus,Stable
2495,Sorex mediopua,Unknown
2496,Sorex thibetanus,Unknown
2497,Sorex tenellus,Stable
2498,Sorex sonomae,Stable
2499,Sorex shinto,Stable
2500,Sorex cansulus,Unknown
2501,Sorex cylindricauda,Unknown
2502,Sorex veraecrucis,Stable
2503,Sorex neomexicanus,Unknown
2504,Sorex ixtlanensis,Unknown
2505,Sorex orizabae,Stable
2506,Nectogale elegans,Unknown
2507,Soriculus nigrescens,Unknown
2508,Megasorex gigas,Unknown
2509,Euroscaptor micrura,Unknown
2510,Euroscaptor longirostris,Unknown
2511,Euroscaptor parvidens,Unknown
2512,Euroscaptor mizura,Decreasing
2513,Euroscaptor grandis,Unknown
2514,Talpa europaea,Stable
2515,Talpa davidiana,Unknown
2516,Talpa levantis,Stable
2517,Talpa altaica,Unknown
2518,Talpa caucasica,Unknown
2519,Desmana moschata,Decreasing
2520,Uropsilus andersoni,Unknown
2521,Uropsilus gracilis,Unknown
2522,Uropsilus investigator,Unknown
2523,Uropsilus soricipes,Unknown
2524,Scapanus townsendii,Stable
2525,Scaptonyx fusicaudus,Unknown
2526,Parascaptor leucura,Unknown
2527,Urotrichus talpoides,Stable
2528,Dymecodon pilirostris,Stable
2529,Mogera uchidai,Unknown
2530,Mogera wogura,Stable
2531,Mogera robusta,Unknown
2532,Mogera imaizumii,Stable
2533,Mogera insularis,Unknown
2534,Mogera etigo,Decreasing
2535,Hemiechinus collaris,Unknown
2536,Hylomys megalotis,Unknown
2537,Hylomys parvus,Decreasing
2538,Neotetracus sinensis,Unknown
2539,Podogymnura truei,Stable
2540,Podogymnura aureospinula,Decreasing
2541,Paraechinus aethiopicus,Stable
2542,Paraechinus micropus,Decreasing
2543,Paraechinus nudiventris,Unknown
2544,Echinosorex gymnura,Unknown
2545,Neohylomys hainanensis,Decreasing
2546,Solenodon marcanoi,
2547,Atopogale cubana,Decreasing
2548,Solenodon paradoxus,Unknown
2549,Hylaeamys tatei,Unknown
2550,Hylaeamys acritus,Unknown
2551,Hylaeamys laticeps,Decreasing
2552,Hylaeamys oniscus,Decreasing
2553,Handleyomys rhabdops,Decreasing
2554,Handleyomys fuscatus,Decreasing
2555,Handleyomys saturatior,Decreasing
2556,Handleyomys intectus,Decreasing
2557,Handleyomys melanotis,Unknown
2558,Handleyomys chapmani,Unknown
2559,Euryoryzomys emmonsae,Unknown
2560,Euryoryzomys legatus,Decreasing
2561,Necromys lasiurus,Unknown
2562,Necromys obscurus,Decreasing
2563,Necromys punctulatus,Unknown
2564,Mindomys hammondi,Decreasing
2565,Megaoryzomys curioi,
2566,Juliomys rimofrons,Unknown
2567,Galenomys garleppi,Unknown
2568,Neodon sikimensis,Unknown
2569,Neodon juldaschi,Unknown
2570,Neodon irene,Unknown
2571,Neodon forresti,Unknown
2572,Dicrostonyx unalascensis,Unknown
2573,Dicrostonyx nelsoni,Stable
2574,Dicrostonyx nunatakensis,Unknown
2575,Nephelomys devius,Stable
2576,Nephelomys caracolus,Unknown
2577,Nephelomys keaysi,Decreasing
2578,Nephelomys meridensis,Stable
2579,Nephelomys auriventer,Unknown
2580,Nephelomys levipes,Decreasing
2581,Transandinomys talamancae,Stable
2582,Transandinomys bolivaris,Stable
2583,Chinchillula sahamae,Stable
2584,Noronhomys vespuccii,
2585,Oreoryzomys balneator,Unknown
2586,Phyllotis gerbillus,Stable
2587,Thaptomys nigrita,Unknown
2588,Phaiomys leucurus,Unknown
2589,Tapecomys primus,Decreasing
2590,Delomys collinus,Decreasing
2591,Delomys sublineatus,Unknown
2592,Microakodontomys transitorius,Decreasing
2593,Calomys callidus,Unknown
2594,Calomys boliviae,Stable
2595,Calomys tocantinsi,Unknown
2596,Calomys fecundus,Stable
2597,Calomys venustus,Stable
2598,Punomys kofordi,Unknown
2599,Punomys lemminus,Unknown
2600,Chilomys instans,Stable
2601,Abrawayaomys ruschii,Unknown
2602,Salinomys delicatus,Unknown
2603,Lemmus portenkoi,Unknown
2604,Aegialomys galapagoensis,Unknown
2605,Neusticomys ferreirai,Unknown
2606,Neusticomys monticolus,Decreasing
2607,Neusticomys venezuelae,Decreasing
2608,Neusticomys peruviensis,Stable
2609,Neusticomys oyapocki,Unknown
2610,Neusticomys mussoi,Decreasing
2611,Auliscomys boliviensis,Stable
2612,Abrothrix illutea,Decreasing
2613,Abrothrix lanosus,Stable
2614,Abrothrix sanborni,Decreasing
2615,Abrothrix olivaceus,Stable
2616,Abrothrix jelskii,Stable
2617,Eremoryzomys polius,Unknown
2618,Nelsonia goldmani,Decreasing
2619,Nelsonia neotomodon,Decreasing
2620,Cerradomys marinhus,Unknown
2621,Cerradomys scotti,Unknown
2622,Cerradomys maracajuensis,Unknown
2623,Deltamys kempi,Unknown
2624,Podomys floridanus,Decreasing
2625,Thalpomys cerradensis,Unknown
2626,Thalpomys lasiotis,Unknown
2627,Neotomys ebriosus,Stable
2628,Ellobius fuscocapillus,Unknown
2629,Ellobius lutescens,Unknown
2630,Wiedomys cerradensis,Unknown
2631,Wiedomys pyrrhorhinos,Unknown
2632,Tylomys bullaris,Decreasing
2633,Tylomys mirae,Unknown
2634,Tylomys fulviventer,Unknown
2635,Tylomys panamensis,Unknown
2636,Tylomys nudicaudus,Stable
2637,Tylomys watsoni,Stable
2638,Tylomys tumbalensis,Decreasing
2639,Phyllotis anitae,Unknown
2640,Phyllotis bonariensis,Decreasing
2641,Phyllotis caprinus,Stable
2642,Phyllotis darwini,Stable
2643,Phyllotis osgoodi,Unknown
2644,Phyllotis osilae,Stable
2645,Phyllotis xanthopygus,Stable
2646,Phyllotis definitus,Decreasing
2647,Alticola tuvinicus,Unknown
2648,Alticola albicaudus,Unknown
2649,Alticola barakshin,Unknown
2650,Nectomys grandis,Unknown
2651,Melanomys robustulus,Stable
2652,Melanomys zunigae,Decreasing
2653,Ondatra zibethicus,Stable
2654,Isthmomys flavidus,Unknown
2655,Isthmomys pirrensis,Unknown
2656,Geoxus annectens,Decreasing
2657,Neotomodon alstoni,Stable
2658,Microtus umbrosus,Decreasing
2659,Microtus majori,Stable
2660,Microtus montanus,Stable
2661,Microtus oaxacensis,Decreasing
2662,Microtus quasiater,Decreasing
2663,Microtus canicaudus,Stable
2664,Microtus xanthognathus,Stable
2665,Microtus sachalinensis,Unknown
2666,Microtus schelkovnikovi,Decreasing
2667,Microtus transcaspicus,Unknown
2668,Microtus schidlovskii,Unknown
2669,Microtus dogramacii,Unknown
2670,Microtus breweri,Stable
2671,Microtus californicus,Stable
2672,Microtus kikuchii,Unknown
2673,Microtus abbreviatus,Stable
2674,Microtus guatemalensis,Decreasing
2675,Microtus hyperboreus,Unknown
2676,Microtus ilaeus,Unknown
2677,Microtus qazvinensis,Unknown
2678,Microtus arvalis,Stable
2679,Microtus paradoxus,Unknown
2680,Lasiopodomys fuscus,Unknown
2681,Euneomys mordax,Stable
2682,Euneomys chinchilloides,Unknown
2683,Euneomys fossor,Unknown
2684,Neacomys pictus,Unknown
2685,Neacomys guianae,Stable
2686,Neacomys minutus,Stable
2687,Neacomys musseri,Stable
2688,Neacomys dubosti,Stable
2689,Neacomys paracou,Stable
2690,Hyperacrius wynnei,Unknown
2691,Megadontomys nelsoni,Decreasing
2692,Megadontomys thomasi,Stable
2693,Megadontomys cryophilus,Decreasing
2694,Aepeomys lugens,Unknown
2695,Aepeomys reigi,Decreasing
2696,Rhagomys rufescens,Decreasing
2697,Rhagomys longilingua,Unknown
2698,Rheomys underwoodi,Stable
2699,Rheomys thomasi,Unknown
2700,Rheomys raptor,Stable
2701,Rheomys mexicanus,Unknown
2702,Sigmodon peruanus,Stable
2703,Sigmodon fulviventer,Stable
2704,Sigmodon arizonae,Unknown
2705,Sigmodon alleni,Decreasing
2706,Sigmodon leucotis,Unknown
2707,Sigmodon inopinatus,Decreasing
2708,Bibimys torresi,Decreasing
2709,Bibimys chacoensis,Stable
2710,Neofiber alleni,Decreasing
2711,Zygodontomys brevicauda,Stable
2712,Zygodontomys brunneus,Stable
2713,Oligoryzomys delticola,Stable
2714,Oligoryzomys arenalis,Decreasing
2715,Oligoryzomys moojeni,Unknown
2716,Oligoryzomys brendae,Unknown
2717,Oligoryzomys rupestris,Unknown
2718,Oligoryzomys stramineus,Unknown
2719,Oligoryzomys victus,
2720,Oligoryzomys vegetus,Stable
2721,Oligoryzomys nigripes,Stable
2722,Oligoryzomys magellanicus,Stable
2723,Oligoryzomys griseolus,Decreasing
2724,Osgoodomys banderanus,Unknown
2725,Xenomys nelsoni,Decreasing
2726,Lenoxus apicalis,Unknown
2727,Peromyscus grandis,Stable
2728,Peromyscus furvus,Unknown
2729,Peromyscus guardia,Decreasing
2730,Peromyscus dickeyi,Stable
2731,Peromyscus eva,Stable
2732,Peromyscus maniculatus,Stable
2733,Peromyscus madrensis,Decreasing
2734,Peromyscus gymnotis,Decreasing
2735,Peromyscus guatemalensis,Stable
2736,Peromyscus hooperi,Stable
2737,Peromyscus pembertoni,
2738,Peromyscus bullatus,Decreasing
2739,Peromyscus californicus,Stable
2740,Peromyscus hylocetes,Stable
2741,Peromyscus caniceps,Decreasing
2742,Peromyscus aztecus,Stable
2743,Peromyscus stephani,Decreasing
2744,Peromyscus simulus,Decreasing
2745,Peromyscus yucatanicus,Stable
2746,Peromyscus winkelmanni,Decreasing
2747,Peromyscus stirtoni,Stable
2748,Peromyscus sagax,Unknown
2749,Peromyscus zarhynchus,Decreasing
2750,Peromyscus schmidlyi,Unknown
2751,Peromyscus mekisturus,Unknown
2752,Peromyscus melanocarpus,Unknown
2753,Peromyscus mayensis,Decreasing
2754,Peromyscus melanurus,Stable
2755,Peromyscus ochraventer,Unknown
2756,Peromyscus mexicanus,Stable
2757,Peromyscus sejugis,Decreasing
2758,Peromyscus perfulvus,Stable
2759,Peromyscus polius,Decreasing
2760,Peromyscus beatae,Unknown
2761,Thomasomys rosalinda,Decreasing
2762,Thomasomys silvestris,Decreasing
2763,Thomasomys paramorum,Unknown
2764,Thomasomys pyrrhonotus,Decreasing
2765,Thomasomys monochromos,Decreasing
2766,Thomasomys hylophilus,Decreasing
2767,Thomasomys incanus,Decreasing
2768,Thomasomys ischyrus,Decreasing
2769,Thomasomys onkiro,Decreasing
2770,Thomasomys kalinowskii,Decreasing
2771,Thomasomys cinereus,Stable
2772,Thomasomys gracilis,Decreasing
2773,Thomasomys baeops,Decreasing
2774,Thomasomys praetor,Unknown
2775,Thomasomys aureus,Decreasing
2776,Thomasomys bombycinus,Unknown
2777,Thomasomys ucucha,Decreasing
2778,Thomasomys macrotis,Decreasing
2779,Thomasomys apeco,Unknown
2780,Thomasomys cinnameus,Unknown
2781,Thomasomys hudsoni,Unknown
2782,Thomasomys caudivarius,Decreasing
2783,Thomasomys erro,Unknown
2784,Thomasomys vulcani,Stable
2785,Loxodontomys pikumche,Decreasing
2786,Reithrodon typicus,Stable
2787,Graomys edithae,Unknown
2788,Graomys domorum,Stable
2789,Graomys griseoflavus,Stable
2790,Graomys chacoensis,Unknown
2791,Lophiomys imhausi,Stable
2792,Wilfredomys oenax,Unknown
2793,Oecomys phaeotis,Stable
2794,Oecomys trinitatis,Stable
2795,Oecomys mamorae,Stable
2796,Oecomys paricola,Unknown
2797,Oecomys flavicans,Stable
2798,Oecomys cleberi,Decreasing
2799,Neotoma phenax,Decreasing
2800,Neotoma palatina,Decreasing
2801,Neotoma macrotis,Unknown
2802,Neotoma angustapalata,Unknown
2803,Neotoma chrysomelas,Stable
2804,Neotoma devia,Stable
2805,Neotoma fuscipes,Stable
2806,Neotoma nelsoni,Decreasing
2807,Myodes andersoni,Stable
2808,Myodes smithii,Stable
2809,Myodes rufocanus,Decreasing
2810,Myodes rex,Stable
2811,Myodes shanseius,Unknown
2812,Rhipidomys couesi,Stable
2813,Rhipidomys fulviventer,Unknown
2814,Rhipidomys cariri,Unknown
2815,Rhipidomys austrinus,Stable
2816,Rhipidomys caucensis,Unknown
2817,Rhipidomys venezuelae,Stable
2818,Rhipidomys ochrogaster,Unknown
2819,Rhipidomys emiliae,Unknown
2820,Rhipidomys macconnelli,Stable
2821,Rhipidomys venustus,Unknown
2822,Rhipidomys modicus,Decreasing
2823,Rhipidomys gardneri,Unknown
2824,Eothenomys custos,Unknown
2825,Eothenomys chinensis,Unknown
2826,Eothenomys cachinus,Unknown
2827,Eothenomys wardi,Unknown
2828,Eothenomys proditor,Unknown
2829,Andalgalomys olrogi,Unknown
2830,Habromys schmidlyi,Decreasing
2831,Habromys chinanteco,Decreasing
2832,Habromys delicatulus,Decreasing
2833,Habromys ixtlani,Decreasing
2834,Habromys simulatus,Decreasing
2835,Habromys lophurus,Decreasing
2836,Habromys lepturus,Decreasing
2837,Megalomys desmarestii,
2838,Megalomys luciae,
2839,Synaptomys borealis,Unknown
2840,Oxymycterus amazonicus,Unknown
2841,Oxymycterus dasytrichus,Stable
2842,Oxymycterus inca,Stable
2843,Oxymycterus hiska,Stable
2844,Oxymycterus caparoae,Unknown
2845,Oxymycterus josei,Decreasing
2846,Proedromys bedfordi,Decreasing
2847,Proedromys liangshanensis,Unknown
2848,Hodomys alleni,Stable
2849,Cansumys canus,Unknown
2850,Akodon budini,Stable
2851,Akodon caenosus,Unknown
2852,Akodon aerosus,Stable
2853,Akodon affinis,Stable
2854,Neomicroxus bogotensis,Stable
2855,Akodon boliviensis,Stable
2856,Akodon paranaensis,Unknown
2857,Akodon subfuscus,Stable
2858,Akodon simulator,Stable
2859,Akodon siberiae,Decreasing
2860,Akodon sanctipaulensis,Unknown
2861,Akodon lutescens,Stable
2862,Akodon varius,Unknown
2863,Akodon pervalens,Unknown
2864,Akodon toba,Stable
2865,Akodon mystax,Unknown
2866,Akodon sylvanus,Stable
2867,Akodon surdus,Unknown
2868,Neomicroxus latebricola,Decreasing
2869,Akodon lindberghi,Unknown
2870,Akodon kofordi,Unknown
2871,Akodon orophilus,Stable
2872,Akodon reigi,Stable
2873,Akodon philipmyersi,Unknown
